	Iozone: Performance Test of File I/O
	        Version $Revision: 3.429 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Thu Sep 25 03:07:41 2014

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
          262144     256  1659853  2773457  6960616  7686591  7631585  2136410  7781519   5841791   7908289  2397838  2634824  7659443  7920708
          262144     512  1337190  1777138  8687203  8887757  8707912  1951943  7790782   5840860   8598277  2028649  1820797  8672198  8490777
          262144    1024  1530786  1710240  7919738  7913070  8072902  3729043  8426874   5918168   7797301  2532329  1717008  8661336  8922521
          262144    2048  1519508  1953080  7951468  8066683  7951008  3382719  7920480   5936765   8858898  2312167  1648290  8044669  8143637
          262144    4096  1496435  1850046  6884218  7350816  7431000  3165804  7214037   4164851   6949178  2255349  1567855  6666947  7192659
          262144    8192  1459217  2026122  5862410  5987196  5775752  1956371  5697045   3389852   5672737  1902888  1306083  5634597  5681120
          262144   16384  1383893  1707656  5814820  5869922  5826467  1852006  5813805   3547374   5611906  2570797  2443001  5573954  5512447
          524288      64   125436   335479  8818357  8966499  8227974   605093  8626976   6167593   8292949   543915   663146  9131101  9371990
          524288     128   453376   547868  9060858  9031051  8726947   261030  8835932   6273713   8037900   544124   583937  9076378  9053509
          524288     256   303333   336329  8077404  8544182  8172322   308042  8534732   5854635   7715551   951664  1275680  7805405  7926127
          524288     512   381530   421551  8185981  8683869  8805786   225740  7767112   5802144   8597699   357132   408676  7576286  7904133
          524288    1024   293794   339620  7562113  7709546  7884013  1155917  8479247   5537235   8823558   327446  1185731  8324405  8756380
          524288    2048   455985   509228  8395051  7997791  7907345   293933  7534080   5960659   8771014   503078   491627  8900737  8883083
          524288    4096   312522   317510  6656952  6759864  6834575   327731  6531962   3909598   6557440  1997692  1128160  6805407  6880681
          524288    8192   289762   312014  5475985  5555659  5619087   326905  5918276   3347109   5584781   328214   331421  5491657  5773141
          524288   16384   301996   313607  5610299  5759759  5561855  1515440  5848951   3538542   5562080  1539894  1297996  5861376  5817078
